0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:03 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:06 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:06 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:06 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:07 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:10 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:10 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:10 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:15:10 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
